Fecha,Semana,Turno,Tripulacion,Fase,Linea,Cliente,Lado,Estacion,Min,Problema,Paro,Capturista,Estación
2025-05-02,18.0,1,A,Fase2,M18 LH,HONDA,LH,LÍNEA,3.0,Apagón Eléctrico,LH LÍNEA Apagón Eléctrico,3 min LH LÍNEA Apagón Eléctrico ,
2025-05-02,18.0,1,A,Fase2,M16 A LH,HONDA,LH,LÍNEA,5.0,Apagón Eléctrico,LH LÍNEA Apagón Eléctrico,5 min LH LÍNEA Apagón Eléctrico ,
2025-05-02,18.0,1,A,Fase2,M16 A LH,HONDA,LH,LÍNEA,5.0,Cambio de Modelo ,LH LÍNEA Cambio de Modelo ,5 min LH LÍNEA Cambio de Modelo  ,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,B02,6.0,Baja Presión de Aire,RH B02 Baja Presión de Aire,6 min RH B02 Baja Presión de Aire ,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,B11,16.0,Falla de Sensor (SD),RH B11 Falla de Sensor (SD),16 min RH B11 Falla de Sensor (SD) sensor de cuerdas ,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,LÍNEA,10.0,Ausentismo,RH LÍNEA Ausentismo,10 min RH LÍNEA Ausentismo ,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,B9,10.0,Dispensador de tornillos,RH B9 Dispensador de tornillos,10 min RH B9 Dispensador de tornillos no pone tornillo #3,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,B10,10.0,Falla de Sensor (SD),RH B10 Falla de Sensor (SD),10 min RH B10 Falla de Sensor (SD) ,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,B11,5.0,Tornillo Flotante,RH B11 Tornillo Flotante,5 min RH B11 Tornillo Flotante ,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,LÍNEA,28.0,Se corre con personal de otra Línea,RH LÍNEA Se corre con personal de otra Línea,28 min RH LÍNEA Se corre con personal de otra Línea ,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,LÍNEA,11.0,Cambio de Modelo ,RH LÍNEA Cambio de Modelo ,11 min RH LÍNEA Cambio de Modelo  ,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,B13,8.0,No pasa Red Rabbit,RH B13 No pasa Red Rabbit,8 min RH B13 No pasa Red Rabbit D,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,LÍNEA,10.0,Apagón Eléctrico,RH LÍNEA Apagón Eléctrico,10 min RH LÍNEA Apagón Eléctrico ,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,B6,32.0,Entrenamiento de Personal,RH B6 Entrenamiento de Personal,32 min RH B6 Entrenamiento de Personal ,
2025-05-02,18.0,1,A,Fase2,M16 A RH,HONDA,RH,B13,20.0,Falla de Sensor (SD),RH B13 Falla de Sensor (SD),20 min RH B13 Falla de Sensor (SD) L/O retorno ,
2025-05-02,18.0,1,A,Fase2,M11 Final RR LH,HONDA,RR LH,LÍNEA,300.0,Falta de Material,RR LH LÍNEA Falta de Material,300 min RR LH LÍNEA Falta de Material falta de cable N1814303A-4ID ,
