fase,linea,cliente
Fase1,GA Main,NISSAN
Fase1,GA Cable A RH,NISSAN
Fase1,GA Cable A LH,NISSAN
Fase1,GA Cable B LH,NISSAN
Fase1,GA Cable B RH,NISSAN
Fase1,Hinge Autom,NISSAN
Fase1,Hinge P02F,NISSAN
Fase1,Check link P02F,NISSAN
Fase1,Check link L02D,NISSAN
Fase1,Check link XDC,NISSAN
Fase1,AC6,STELLANTIS
Fase1,AC9 Power,STELLANTIS
Fase1,AC9 Cinch,STELLANTIS
Fase1,M2 FR RH,NISSAN
Fase1,M2 FR LH,NISSAN
Fase1,M2 RR RH,NISSAN
Fase1,M2 RR LH,NISSAN
Fase1,GC2 MAIN,STELLANTIS
Fase1,GC2 BACK PLATE,STELLANTIS
Fase1,GC2 ACTUADOR,STELLANTIS
Fase1,Hood Lock P71A,NISSAN
Fase1,Bell crank ,NISSAN
Fase1,Sub Procesos,NISSAN
Fase2,Conveyor,HONDA
Fase2,M16 A RH,HONDA
Fase2,M16 A LH,HONDA
Fase2,M16 B RH,HONDA
Fase2,M16 B LH,HONDA
Fase2,M18 RH,HONDA
Fase2,M18 LH,HONDA
Fase2,M11 Final FR RH,HONDA
Fase2,M11 Final FR LH,HONDA
Fase2,M11 Final RR RH,HONDA
Fase2,M11 Final RR LH,HONDA
Fase2,ODYSSEY LH,HONDA
Fase2,ODYSSEY RH,HONDA
Fase2,C5,HONDA
